customer_id,customer_name,country,signup_date,customer_tier
5294515,Customer_0,India,2017-05-27,Bronze
2719568,Customer_1, usa ,2016-11-21,Silver
1617289,Customer_2,India,2016-11-28,Silver
3729138,Customer_3,India,2018-10-15,Platinum
6114550,Customer_4,Germany,2019-03-10,Silver
6754764,Customer_5,India,2020-10-01,Silver
9704946,Customer_6,UK,2018-04-08,Silver
3491408,Customer_7, india ,2022-11-26,Gold
7246207,Customer_8,India,2014-06-30,Bronze
6818992,Customer_9, usa ,,Silver
9667786,Customer_10,India,2023-08-30,Silver
5968449,Customer_11,India,2020-11-23,Bronze
9144664,Customer_12, uk ,2022-10-14,Bronze
6598989,Customer_13,USA,2016-06-06,Silver
4153511,Customer_14,Australia,2022-10-01,Bronze
7609214,Customer_15,India,2018-04-08,Bronze
2190464,Customer_16,India,2018-11-12,Bronze
8697756,Customer_17,India,2022-05-03,Bronze
6023746,Customer_18,India,2018-12-20,Gold
7096925,Customer_19, usa ,2020-07-02,Silver
8165333,Customer_20,India,2019-09-23,Bronze
7975810,Customer_21,USA,2022-10-06,Bronze
6666701,Customer_22,Canada,2019-03-13,Silver
5938550,Customer_23,USA,2024-12-13,Bronze
1945019,Customer_24,India,2017-06-25,Silver
2764901,Customer_25,Germany,2022-02-19,Bronze
8706446,Customer_26, germany ,2019-02-18,Bronze
8658972,Customer_27, germany ,2020-09-06,Gold
5451652,Customer_28,USA,2015-06-04,Bronze
6599735,Customer_29,India,2014-04-29,Bronze
6314709,Customer_30,France,2023-10-26,Silver
6860708,Customer_31,USA,2015-02-27,Silver
1950714,Customer_32,USA,2019-02-16,Bronze
5133017,Customer_33,UK,2017-01-03,Silver
8948358,Customer_34,India,2017-07-31,Bronze
7638909,Customer_35,USA,2022-07-18,Bronze
1036372,Customer_36,India,2021-10-23,Gold
1055292,Customer_37,USA,2022-04-14,Gold
2460864,Customer_38,Germany,2016-09-14,Silver
8269647,Customer_39,USA,2023-06-07,Silver
4900708,Customer_40,India,2021-02-05,Bronze
6147980,Customer_41, india ,2019-05-13,Bronze
9803547,Customer_42,India,2016-07-12,Silver
4724681,Customer_43,India,2018-12-15,Bronze
2499641,Customer_44, india ,2023-04-15,Gold
1106627,Customer_45,India,2020-05-30,Bronze
4093199,Customer_46,UK,2021-07-02,Bronze
1382102,Customer_47,India,2016-03-07,Bronze
6536015,Customer_48,USA,2018-05-31,Silver
2246099,Customer_49,UK,2017-10-21,Silver
9713218,Customer_50,USA,2016-11-11,Gold
6461286,Customer_51,India,2017-07-29,Gold
9916195,Customer_52,India,2014-10-09,Silver
7491068,Customer_53,India,2014-07-19,Bronze
3211686,Customer_54,Australia,2024-10-09,Bronze
2786717,Customer_55,France,2020-04-14,Bronze
6782772,Customer_56,India,2015-12-19,Gold
3878081,Customer_57,India,2017-05-11,Silver
6319137,Customer_58,UK,2022-11-09,Silver
3685789,Customer_59,Germany,2020-01-19,Bronze
8553222,Customer_60,India,2024-09-30,Bronze
9206411,Customer_61,India,2017-01-27,Bronze
3207067,Customer_62,India,2022-05-17,Bronze
9393176,Customer_63,USA,2018-04-13,Gold
3910253,Customer_64,India,2024-01-28,Bronze
8816921,Customer_65,USA,2017-09-08,Bronze
5926644,Customer_66,Germany,2018-10-03,Silver
7383531,Customer_67, germany ,2021-01-23,Bronze
4973373,Customer_68,USA,2016-03-20,Bronze
8557822,Customer_69,India,2015-01-30,Gold
7642573,Customer_70,USA,2020-01-04,Gold
7923400,customer_71,USA,2021-01-22,Silver
3544484,Customer_72,India,2019-02-21,Bronze
9822175,Customer_73,USA,2023-11-27,Bronze
1674299,Customer_74,France,2023-07-14,Platinum
2052705,Customer_75,India,2015-03-24,Bronze
8118695,Customer_76,Germany,2015-05-22,Bronze
3869425,Customer_77,India,2017-04-09,Bronze
2400895,Customer_78,USA,2023-08-23,Silver
3104964,customer_79,Germany,2019-01-31,Gold
1424519,Customer_80,USA,2017-09-09,Silver
4556718,Customer_81,India,2015-02-06,Silver
7062397,Customer_82,USA,2018-07-17,Platinum
9591249,Customer_83,Australia,2018-05-04,Silver
1679909,Customer_84,Germany,2023-12-09,Gold
7278609,Customer_85,UK,2016-05-31,Bronze
7130569,Customer_86,USA,2015-10-17,Bronze
3910679,Customer_87,India,2017-12-07,Bronze
1943322,Customer_88, usa ,2016-02-11,Silver
4004816,Customer_89, india ,2023-04-05,Gold
4496096,Customer_90,India,2014-07-13,Silver
5844787,Customer_91,USA,2021-08-27,Gold
2854549,Customer_92,India,2022-10-17,Silver
6861443,Customer_93,USA,2023-12-09,Platinum
7666881,Customer_94, india ,2014-09-12,Gold
5798775,Customer_95,UK,2018-07-12,Silver
3655184,Customer_96,India,2018-06-12,Silver
7747325,Customer_97,India,2014-09-19,Bronze
4289135,Customer_98,USA,2016-07-13,Bronze
6832024,customer_99,India,2016-02-25,Bronze
7146437,Customer_100, india ,2023-07-28,Silver
3904953,Customer_101,USA,2014-02-09,Bronze
1034776,Customer_102,Australia,2016-10-30,Bronze
1380990,Customer_103,India,2024-06-02,Silver
6723302,Customer_104,India,2023-06-30,Silver
1789379,Customer_105,France,2016-09-09,Gold
4081535,Customer_106,USA,2024-05-08,Gold
5791939,Customer_107,UK,2019-05-26,Bronze
6736532,Customer_108,UK,2020-04-25,Bronze
5613212,Customer_109,USA,2022-02-05,Silver
2600517,Customer_110,UK,2020-06-04,Gold
3596043,Customer_111,Australia,2018-02-13,Bronze
8287763,Customer_112,UK,2023-12-01,Silver
1958270,Customer_113,USA,2023-07-16,Gold
4104386,Customer_114,USA,2017-10-15,Bronze
9806151,Customer_115,UK,2014-09-25,Bronze
7135638,Customer_116,Germany,2016-09-05,Silver
6157566,Customer_117,Germany,2015-03-05,Bronze
5829942,Customer_118,India,2014-07-15,Bronze
2547690,Customer_119,Germany,2016-01-31,Silver
1819718,Customer_120,India,2023-12-12,Gold
9359372,Customer_121,Germany,2022-03-15,Bronze
2273966,Customer_122,USA,2022-01-11,Gold
8459875,Customer_123,USA,2018-04-16,Gold
9568756,Customer_124, usa ,2019-08-18,Gold
8264884,Customer_125,USA,2018-08-16,Bronze
2026653,Customer_126, usa ,2017-10-14,Silver
9001825,Customer_127,India,2022-04-24,Bronze
4452736,Customer_128,USA,2019-03-14,Bronze
2288847,Customer_129,India,2020-08-15,Gold
8798094,Customer_130,India,2016-11-08,Bronze
2221553,Customer_131, usa ,2021-10-28,Silver
7750924,Customer_132,USA,2020-09-30,Silver
3198036,Customer_133,USA,2015-11-26,Bronze
3792259,Customer_134, australia ,2014-07-01,Bronze
2762119,Customer_135,India,2016-11-25,Silver
4735885,Customer_136, germany ,2024-09-21,Bronze
5573431,Customer_137,India,2014-04-07,Silver
5594786,Customer_138,India,2015-01-19,Silver
1715590,Customer_139,India,2017-12-31,Bronze
2503104,Customer_140,USA,2021-12-26,Gold
8617956,Customer_141,UK,2014-02-23,Silver
8372461,Customer_142,Germany,2014-04-14,Gold
9844304,Customer_143,Australia,2024-07-20,Bronze
1363682,Customer_144,India,2021-12-10,Gold
6118146,Customer_145,India,2018-01-26,Gold
8224197,Customer_146,Germany,2023-04-15,Bronze
6845468,Customer_147,USA,2024-03-06,Silver
2953537,Customer_148,France,2014-06-03,Bronze
8152868,Customer_149,USA,2015-04-22,Silver
9620727,Customer_150,USA,2017-08-26,Bronze
2879907,Customer_151,UK,2023-08-23,Silver
2655514,customer_152,USA,2018-10-08,Silver
3052863,Customer_153,UK,2023-12-24,Silver
6543814,Customer_154,Canada,2024-08-15,Gold
6875663,Customer_155,USA,2024-11-11,Bronze
6096921,Customer_156,India,2024-04-14,Gold
8577099,Customer_157,India,2016-04-12,Bronze
6198991,Customer_158,USA,2024-06-28,Gold
8278927,Customer_159,India,2019-09-21,Silver
5512815,Customer_160, uk ,2019-04-27,Silver
9086059,Customer_161,USA,2017-01-23,Bronze
6886000,Customer_162,USA,2014-08-29,Silver
9021167,Customer_163,USA,2022-03-25,Bronze
9858451,Customer_164,Australia,2020-05-25,Bronze
4320331,Customer_165, germany ,2018-01-06,Gold
4590913,Customer_166,UK,2023-07-18,Gold
5057293,Customer_167,India,2021-06-17,Bronze
2833702,Customer_168,Australia,2021-08-07,Bronze
9810891,Customer_169,USA,2023-12-07,Bronze
6226177,Customer_170,USA,2018-11-14,Silver
5698383,Customer_171,USA,2017-11-10,Bronze
3848031,Customer_172,India,2020-08-09,Bronze
