product_id,product_name,product_category,manufacturing_city,size,color,sku
86743,Product_0,Books,Chennai,L,Black,37381570
87281,Product_1,Books,Bangalore,L,Yellow,82089090
45596,Product_2,Gaming,Bangalore,S,Black,27220360
33782,Product_3,Furniture,Bangalore,XS,Black,64342561
14201,Product_4,Furniture,Mumbai,XS,Blue,68376975
30518,Product_5,Clothing,Bangalore,XS,Red,50331834
81997,Product_6,Electronics,Pune,XL,White,47920458
29681,Product_7,Electronics,Bangalore,L,Green,34722820
50449,Product_8,Clothing,Bangalore,XS,White,37998433
80350,Product_9,Clothing,Hyderabad,M,Green,75127645
88867,Product_10,Medical,Hyderabad,XL,Green,83140705
24385,Product_11,Gaming,Mumbai,XS,White,96487776
67477,Product_12,Toys,Mumbai,S,Green,78262095
47114,Product_13,Automotive,Bangalore,M,Green,18595185
11271,Product_14,Electronics,Pune,L,Yellow,76600116
11054,Product_15,Books,Bangalore,L,Green,30609794
76325,Product_16,Electronics,Delhi,S,Green,22616587
61018,Product_17,Books,Mumbai,M,White,26836363
79533,Product_18,Sports,Noida,M,Yellow,97587689
76110,Product_19,Clothing,Bangalore,S,Yellow,11570645
73324,Product_20,Clothing,Delhi,XS,Blue,17074331
55972,Product_21,Clothing,Bangalore,L,White,11016175
76361,Product_22,Electronics,Delhi,L,Blue,82833053
60319,Product_23,Books,Bangalore,XS,Green,51715357
78398,Product_24,Automotive,Bangalore,XL,Red,68665382
85345,Product_25,Office,Bangalore,M,Yellow,98666978
21193,Product_26,Clothing,Bangalore,S,Yellow,68036469
10493,Product_27,Office,Bangalore,M,Black,32355756
11139,Product_28,Sports,Hyderabad,L,Yellow,50965278
55776,Product_29,Kitchen,Hyderabad,L,Green,71100422
92500,Product_30,Clothing,Noida,XL,Green,12459751
87608,Product_31,Office,Pune,XS,Black,63712852
91863,Product_32,Electronics,Delhi,S,White,78968829
34898,Product_33,Beauty,Hyderabad,XS,Blue,43557296
80153,Product_34,Clothing,Bangalore,L,Blue,56271912
33026,Product_35,Clothing,Bangalore,L,White,34565898
70888,Product_36,Kitchen,Bangalore,XS,Black,95271144
89402,Product_37,Sports,Mumbai,M,Yellow,67761674
49321,Product_38,Sports,Chennai,L,Green,12487442
95138,Product_39,Books,Bangalore,L,White,75840762
39654,Product_40,Books,Delhi,L,Black,99454136
11802,Product_41,Office,Bangalore,M,Yellow,14329550
71578,Product_42,Furniture,Pune,L,Red,97389858
65370,Product_43,Furniture,Bangalore,S,Blue,94111928
11935,Product_44,Electronics,Bangalore,S,Yellow,12669546
68599,Product_45,Beauty,Bangalore,XS,White,60599732
66985,Product_46,Beauty,Pune,S,Green,61551938
68659,Product_47,Electronics,Pune,XL,Yellow,49553546
33143,Product_48,Automotive,Bangalore,S,Red,35301049
85121,Product_49,Electronics,Bangalore,L,Yellow,51480862
38060,Product_50,Clothing,Delhi,M,Blue,71824157
90514,Product_51,Electronics,Hyderabad,S,Green,92728290
93325,Product_52,Books,Pune,S,White,56936388
95790,Product_53,Sports,Bangalore,L,Red,62163088
25519,Product_54,Clothing,Delhi,L,White,22033447
18853,Product_55,Automotive,Bangalore,S,Yellow,37112113
27581,Product_56,Clothing,Hyderabad,M,Blue,97406300
27172,Product_57,Electronics,Chennai,L,blu,10339657
67306,Product_58,Sports,Bangalore,XS,Blue,24589453
15873,Product_59,Kitchen,Delhi,M,blu,23325202
79506,Product_60,Sports,Bangalore,L,Blue,92088127
85321,Product_61,Gaming,Hyderabad,L,Yellow,24373116
58932,Product_62,Kitchen,Noida,S,Blue,93826494
68066,Product_63,Gaming,Bangalore,XL,Red,44229442
96947,Product_64,Electronics,Hyderabad,S,Black,95425637
37012,Product_65,Furniture,Chennai,XS,?,83788675
82123,Product_66,Sports,Delhi,S,Blue,70016257
80656,Product_67,Electronics,Bangalore,M,Blue,38007178
90646,Product_68,Books,Hyderabad,XS,White,42433007
67870,Product_69,Clothing,Pune,XS,White,85150866
