project_id,emp_id,budget,start_date,status
4168602,518559,31862.0,2022-08-21,Completed
1727370,602124,44432.0,2018-04-15,Active
2788152,555840,199584.0,2024-10-26,Planned
2920891,112245,24903.0,2024-07-13,Active
6409107,139070,47314.0,2019-11-28,On-Hold
5206774,705978,336345.0,2019-03-20,Active
8294664,217528,152455.0,2020-05-20,Completed
2884010,856966,79917.0,2019-08-24,Active
6563863,449379,33046.0,2023-11-11,Completed
6059032,779238,186028.0,2021-09-29,Planned
4062482,742255,1170275.0,2019-02-25,Active
7982565,299452,24574.0,2021-04-08,Planned
8478700,181574,20750.0,2023-08-16,Completed
4842853,633300,16328.0,2023-07-24,Completed
7970932,688028,93274.0,2023-06-03,Completed
2249469,871032,40156.0,2018-12-03,Completed
1403669,344098,12494.0,2023-11-14,Active
9201873,276347,36562.0,2022-04-24,Active
6283893,938427,186474.0,2019-01-27,Active
2378172,284097,153963.0,2023-11-28,Active
4826653,724026,26591.0,2023-01-05,Active
8759133,206334,36863.0,2019-01-24,Planned
8059247,455972,43538.0,2020-11-28,Completed
9879444,135498,86451.0,2019-11-29,Planned
1003027,701079,105287.0,2019-02-14,Active
4412268,753354,36155.0,2023-01-02,Completed
4897346,727088,35089.0,2021-02-14,Active
7898230,191672,76345.0,2022-06-18,Planned
8186614,782375,49354.0,2021-04-16,Active
8343298,495732,28725.0,2023-07-16,Completed
1881170,747677,47118.0,2023-03-20,On-Hold
3862976,515485,25654.0,2023-06-15,Active
4898350,688205,1013824.0,2018-05-31,Completed
8811583,568952,842633.0,2021-04-09,Active
4242551,619459,73772.0,2019-08-23,Active
4726476,258622,710406.0,2024-07-26,Planned
9884087,567054,178734.0,2021-06-15,Active
7655751,157853,557970.0,2020-10-30,Planned
1276605,595383,1001692.0,2021-07-03,Active
1208238,558605,158468.0,2020-03-10,Active
4670221,488915,125164.0,2020-08-16,Completed
2427807,421379,35565.0,2021-04-22,Completed
2120987,653621,15798.0,2024-11-02,Active
2604424,715121,112942.0,2023-11-05,Completed
2328616,915216,139959.0,2023-12-08,Planned
4401293,586662,665367.0,2023-01-01,Completed
7104354,207390,29731.0,2019-07-12,Completed
1115362,308641,38204.0,2020-10-31,Active
3555790,852443,115643.0,2023-03-23,Completed
1170478,893924,697198.0,2024-10-05,Completed
3905769,105033,13253.0,2020-02-09,Completed
7443296,565263,28495.0,2020-05-06,Active
1832072,470964,643566.0,2020-10-21,Active
7176433,970786,37000.0,2022-12-25,Planned
9860472,286933,46394.0,2024-03-14,Active
6580524,391451,33461.0,2022-09-12,Completed
8694759,357487,47712.0,2020-02-18,Completed
2791072,809723,45122.0,2023-12-10,Active
6588073,380407,40778.0,2023-04-06,Active
9307172,911156,11137.0,2019-05-07,Completed
1006171,948796,378903.0,2019-12-29,Completed
5726099,283672,30526.0,2021-05-24,Active
8260786,772091,12966.0,2018-04-24,Planned
5318056,481315,59942.0,2019-05-09,Completed
5005814,678018,191373.0,2019-03-18,Completed
7839174,973115,34380.0,2020-11-20,Completed
2516528,205475,98712.0,2020-05-18,Completed
2623346,829443,33905.0,2023-07-11,Completed
7375654,402405,48935.0,2024-01-03,Active
6455476,831682,65625.0,2020-11-03,Completed
1826167,147426,1106412.0,2018-08-06,Planned
4938702,534391,112524.0,2019-07-12,Active
4075904,975268,20933.0,2024-07-10,Active
3590258,595781,43228.0,2019-02-21,Active
5356873,497262,139052.0,2018-02-07,Completed
3617451,286557,42000.0,2019-08-10,Completed
4276192,517493,112991.0,2019-08-08,Active
9635442,405674,378081.0,2022-05-14,Active
6396818,735394,840059.0,2023-06-15,Active
